OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 1408 DEB,1982-092NB,2023-07-28T10:32:55.735008,15.53848595,.0019257,82.5637,217.0717,74.3373,286.0003,0,U,49892,999,9472,.63957E-3,.41616E-3,0
COSMOS 1408 DEB,1982-092PA,2023-07-29T01:09:42.929856,15.97436619,.000309,82.5811,230.7816,350.6420,9.4799,0,U,49915,999,9412,.27812E-2,.1208888E-1,.72791E-3
COSMOS 1408 DEB,1982-092PY,2023-07-29T03:58:39.974016,15.52886385,.0015948,82.5474,218.3696,6.8206,353.3260,0,U,49981,999,9278,.94028E-3,.59045E-3,0
COSMOS 1408 DEB,1982-092QP,2023-07-29T03:14:03.613056,15.28006982,.0089694,82.6468,246.4870,112.3614,248.7162,0,U,49996,999,9262,.10579E-2,.3272E-3,0
COSMOS 1408 DEB,1982-092QW,2023-07-28T17:50:12.492096,15.48128754,.0022117,82.5522,221.0476,18.8063,341.3999,0,U,50010,999,9284,.81007E-3,.43117E-3,0
COSMOS 1408 DEB,1982-092QY,2023-07-29T01:26:49.171776,15.81904665,.0004096,82.5611,219.4988,12.7365,347.4006,0,U,50012,999,9301,.16355E-2,.342429E-2,0
COSMOS 1408 DEB,1982-092RA,2023-07-29T02:42:20.157984,15.34383442,.0068868,82.5640,233.1175,33.5972,326.9608,0,U,50014,999,9216,.89738E-3,.32395E-3,0
COSMOS 1408 DEB,1982-092RG,2023-07-28T17:54:28.953216,15.46340093,.0008374,82.6241,222.8194,48.7493,311.4477,0,U,50020,999,9294,.38971E-3,.19308E-3,0
COSMOS 1408 DEB,1982-092RK,2023-07-29T01:40:51.365280,15.80038334,.0009407,82.5597,224.6687,16.6066,343.5507,0,U,50023,999,9255,.22324E-2,.434587E-2,0
COSMOS 1408 DEB,1982-092RP,2023-07-29T00:32:20.578560,15.47638965,.0051869,82.3718,217.8688,56.8730,303.7481,0,U,50027,999,9194,.15834E-2,.8694E-3,0
COSMOS 1408 DEB,1982-092RU,2023-07-29T01:22:44.736672,15.34820754,.002175,82.5659,219.8859,97.8948,262.4764,0,U,50032,999,9250,.91568E-4,.3152E-4,0
COSMOS 1408 DEB,1982-092RX,2023-07-28T12:07:20.589888,15.38061332,.0075463,82.6017,238.8313,36.5040,324.1314,0,U,50035,999,9402,.10994E-2,.45625E-3,0
COSMOS 1408 DEB,1982-092SH,2023-07-29T01:40:14.341152,15.61441371,.003889,82.5018,226.1416,37.4108,322.9844,0,U,50045,999,9425,.21474E-2,.194067E-2,0
COSMOS 1408 DEB,1982-092SM,2023-07-29T02:50:09.279744,15.22798650,.0139772,82.4517,257.1518,205.1118,154.3281,0,U,50049,999,9195,.32475E-2,.100809E-2,0
COSMOS 1408 DEB,1982-092SP,2023-07-28T13:28:45.471360,15.30881019,.0080931,82.5205,233.6985,54.7778,306.1003,0,U,50051,999,9378,.92391E-3,.30631E-3,0
COSMOS 1408 DEB,1982-092SW,2023-07-29T03:11:04.023744,15.30705080,.0034117,82.6178,229.9525,8.8061,351.3770,0,U,50058,999,9418,.20738E-3,.63E-4,0
COSMOS 1408 DEB,1982-092TH,2023-07-29T02:05:54.402144,15.31008775,.007511,82.5029,229.2160,40.6802,320.0014,0,U,50069,999,9364,.87656E-3,.28765E-3,0
COSMOS 1408 DEB,1982-092TS,2023-07-29T01:14:22.556544,15.63592353,.002341,82.5324,224.0508,36.3938,323.8906,0,U,50078,999,9357,.18116E-2,.173506E-2,0
COSMOS 1408 DEB,1982-092VP,2023-07-28T10:41:18.055968,15.42455811,.0009044,82.5636,219.0739,9.6503,350.4916,0,U,50123,999,9477,.31361E-3,.13629E-3,0
COSMOS 1408 DEB,1982-092VX,2023-07-29T01:09:18.786240,16.24643758,.0008965,82.4775,218.4885,235.9222,124.1218,0,U,50131,999,9324,.23436E-2,.6413975E-1,-.11904E-5
COSMOS 1408 DEB,1982-092YY,2023-07-29T01:19:06.933504,15.97262077,.001201,82.5208,214.9903,259.6294,100.3629,0,U,50283,999,9416,.19088E-2,.833104E-2,.31168E-3
COSMOS 1408 DEB,1982-092YZ,2023-07-28T18:47:24.576576,15.43938134,.0020286,82.6705,228.7642,55.4240,304.8919,0,U,50284,999,9123,.41566E-3,.19101E-3,0
COSMOS 1408 DEB,1982-092AAP,2023-07-29T01:16:50.888928,15.55667696,.0025535,82.5329,208.4441,234.5593,125.3277,0,U,50329,999,9076,.37705E-3,.26361E-3,0
COSMOS 1408 DEB,1982-092ABK,2023-07-29T01:28:47.793792,15.49486472,.0025454,82.6820,228.8722,30.7450,329.5286,0,U,50349,999,9092,.64341E-3,.36008E-3,0
COSMOS 1408 DEB,1982-092ABM,2023-07-26T21:04:32.458944,15.03052978,.0170626,82.5428,256.7761,130.8263,230.7904,0,U,50351,999,9212,.12606E-2,.23482E-3,0
COSMOS 1408 DEB,1982-092ABZ,2023-07-29T02:21:02.512800,15.18435914,.00957,82.4181,230.3413,115.3147,245.8039,0,U,50363,999,9036,.68011E-3,.15853E-3,0
COSMOS 1408 DEB,1982-092ADS,2023-07-28T07:15:06.750144,14.20949122,.0501889,82.2538,307.8887,56.1982,308.5943,0,U,50404,999,8545,.18263E-2,.14753E-3,0
COSMOS 1408 DEB,1982-092AFX,2023-07-28T21:27:35.763552,15.36363233,.0111009,82.6390,267.9540,180.7390,179.3710,0,U,50457,999,9069,.55828E-2,.249727E-2,0
COSMOS 1408 DEB,1982-092AGW,2023-07-28T20:08:28.397184,15.22153927,.0123248,82.5246,247.4913,100.0388,261.4782,0,U,50523,999,8833,.18096E-2,.51521E-3,0
COSMOS 1408 DEB,1982-092AHJ,2023-07-29T02:13:37.907040,15.38833798,.0062174,82.5144,228.6559,37.2133,323.3395,0,U,50535,999,8940,.13772E-2,.56889E-3,0
COSMOS 1408 DEB,1982-092AJK,2023-07-28T11:51:45.828288,15.38034111,.0070888,82.5198,230.7401,34.2764,326.3024,0,U,50560,999,8889,.10424E-2,.42712E-3,0
